2025/03/23 07:49:25 [error] 179#179: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET /admin/ HTTP/1.1", upstream: "http://172.18.0.4:8000/admin/", host: "localhost"
2025/03/23 07:49:25 [error] 179#179: *1 open() "/static/img/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/admin/"
2025/03/23 07:55:18 [error] 183#183: *18 open() "/static/img/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/api/accounts/register/"
2025/03/23 07:55:19 [error] 183#183: *18 open() "/static/img/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/api/accounts/register/"
2025/03/23 07:55:19 [error] 183#183: *18 open() "/static/img/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/api/accounts/register/"
2025/03/23 07:55:19 [error] 183#183: *18 open() "/static/img/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/api/accounts/register/"
2025/03/23 08:03:49 [error] 180#180: *117 open() "/static/img/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/api/accounts/register/"
2025/03/23 08:10:28 [error] 179#179: *187 open() "/static/img/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/api/accounts/register/"
2025/03/23 08:11:37 [error] 178#178: *210 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "POST /api/accounts/register/ HTTP/1.1", upstream: "http://172.18.0.4:8000/api/accounts/register/", host: "localhost", referrer: "http://localhost/api/accounts/register/"
2025/03/23 08:17:37 [error] 181#181: *308 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: localhost, request: "GET /api/accounts/register/ HTTP/1.1", upstream: "http://172.18.0.4:8000/api/accounts/register/", host: "localhost"
2025/03/23 08:17:37 [error] 181#181: *308 open() "/static/img/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/api/accounts/register/"
